,,,,
,,,,
"Estadio","Inauguración","Aforo","Equipo","Ciudad"
"Los Corrales","NULL",5500,"SD Buelna","Los Corrales de Buelna"
"Ciudad Deportiva Plasencia","NULL",5500,"UP Plasencia","Plasencia"
"Chamorro Martínez",1970,5500,"Martos CD","Martos"
"Virgen de las Nieves",2001,6000,"SD Tenisca","Santa Cruz de la Palma"
"Polideportivo Municipal",1976,5500,"UD Almansa","Almansa"
"Nuestra Señora de la Caridad",1958,5500,"CP Villarrobledo","Villarrobledo"
"Nuevo Román Suárez Puerta",1999,5500,"Real Avilés CF","Avilés"
"Salto del Caballo",1973,5300,"CD Toledo","Toledo"
"Ciudad de Ayamonte",2007,5200,"Ayamonte CF","Ayamonte"
"Ciudad Deportiva del Villarreal CF",2002,5100,"Villarreal CF ""B""","Villarreal"
"Estadio Municipal de Montilla",1981,5000,"Montilla CF","Montilla"
"La Juventud",2001,5000,"Jerez Industrial CF","Jerez de la Frontera"
"El Clariano",1951,5000,"Ontinyent CF","Onteniente"
"Camp Nou Municipal",1978,5000,"Club de Futbol Reus Deportiu","Reus"
"Miramar",1952,5000,"Club Marino de Luanco","Luanco"
"Municipal de Alcázar","NULL",5000,"CF Gimnástico de Alcázar","Alcázar de San Juan"
"Stadium Gal",1926,5000,"Real Unión Club","Irún"
"Nou Municipal",1994,5000,"UDA Gramenet","Santa Coloma de Gramanet"
"La Bòbila",1995,5000,"CF Gavà","Gavá"
"Pinilla",1957,5000,"CD Teruel","Teruel"
"Como Eiroas","NULL",5000,"Bergantiños FC","Carballo"
"Estadio Baltar","NULL",5000,"Portonovo SD","Portonovo"
"Orellana","NULL",5000,"Ribadesella CF","Ribadesella"
"Artunduaga",2007,5000,"CD Basconia","Basauri"
"Gazituaga","NULL",5000,"Zamudio SD","Zamudio"
"Mundial 82",1984,5000,"Catarroja CF","Catarroja"
"La Aldehuela","NULL",5000,"CF Fuenlabrada","Fuenlabrada"
"Escribano Castilla",1970,5000,"CF Motril","Motril"
"El Palmar",1948,5000,"Atlético Sanluqueño CF","Sanlúcar de Barrameda"
"Municipal","NULL",5000,"CD Victoria","Tazacorte"
"Ciudad Deportiva Municipal",2007,5000,"CP Sanvicenteño","San Vicente de Alcántara"
"Ciudad Deportiva","NULL",5000,"Olivenza CP","Olivenza"
"Manuel Calzado Galván","NULL",5000,"Jerez CF","Jerez de los Caballeros"
"Nuevo Estadio",1972,5000,"CD Díter Zafra","Zafra"
"Municipal Navalmoral de la Mata",1972,5000,"Moralo CP","Navalmoral de la Mata"
"Santa Ana","NULL",5000,"Utebo FC","Utebo"
"Municipal de Deportes",1966,5000,"UD Barbastro","Barbastro"
"Estadio municipal Los Cuartos",1953,5000,"UD Orotava","La Orotava"
"Isidro Calderón","NULL",5000,"Club Atlético de Monzón","Monzón"
"Estadio Municipal de Tomelloso",1948,5000,"Club Atlético Tomelloso","Tomelloso"
"El Olivar","NULL",5000,"CD Piedrabuena","Piedrabuena"
"Santo Domingo",1978,5000,"AD Alcorcón","Alcorcón"
"Merkatondoa",1928,5000,"CD Izarra","Estella"
"Área Deportiva de Puente Castro",1998,4600,"Cultural y Deportiva Leonesa B","León"
"Estadi Municipal de Can Misses",1991,4500,"U.D. Ibiza","Ibiza"
"Estadio Municipal Matías Prats","NULL",4500,"U.D.C.Torredonjimeno","Torredonjimeno"
"El Mazo",2004,4300,"Haro Deportivo","Haro"
"Ciutat Esportiva Vinaròs",1920,4000,,"Vinaròs"
"Estadio Javier Sotomayor",1970,4000,"Unionistas de Salamanca Club de Fútbol","Villares de la Reina"
"Estadio Municipal de Ejea",2010,2223,"S.D Ejea","Ejea de los Caballeros"
"La Espiguera",1917,2000,"River Melilla CF","Melilla"
"Municipal La Hoya",1981,1000,"FC Jumilla","Jumilla"
