"Ciudad Deportiva Municipal",2007,5000,"San Vicente de Alcántara"
"Ciudad Deportiva","NULL",5000,"Olivenza"
"Manuel Calzado Galván","NULL",5000,"Jerez de los Caballeros"
"Nuevo Estadio",1972,5000,"Zafra"
"Municipal Navalmoral de la Mata",1972,5000,"Navalmoral de la Mata"
"Santa Ana","NULL",5000,"Utebo"
"Municipal de Deportes",1966,5000,"Barbastro"
"Estadio municipal Los Cuartos",1953,5000,"La Orotava"
"Isidro Calderón","NULL",5000,"Monzón"
"Estadio Municipal de Tomelloso",1948,5000,"Tomelloso"
"El Olivar","NULL",5000,"Piedrabuena"
"Santo Domingo",1978,5000,"Alcorcón"
"Merkatondoa",1928,5000,"Estella"
"Área Deportiva de Puente Castro",1998,4600,"León"
"Estadi Municipal de Can Misses",1991,4500,"Ibiza"
"Estadio Municipal Matías Prats","NULL",4500,"Torredonjimeno"
"El Mazo",2004,4300,"Haro"
"Ciutat Esportiva Vinaròs",1920,4000,"Vinaròs"
"Estadio Javier Sotomayor",1970,4000,"Villares de la Reina"
"Estadio Municipal de Ejea",2010,2223,"Ejea de los Caballeros"
"La Espiguera",1917,2000,"Melilla"
"Municipal La Hoya",1981,1000,"Jumilla"
